id,title,page,index,duration,thumbnail
"7nd4kUWypy8","隨時都能做，隨時都能瘦！5分鐘的空檔減重輕肌力運動！","0","0","83","https://i.ytimg.com/vi/7nd4kUWypy8/hqdefault.jpg"
"PLUn-X9eLQ4","全身伸展","63","1","34","https://i.ytimg.com/vi/PLUn-X9eLQ4/hqdefault.jpg"
"m2x03woh_1Y","曲膝抱胸","64","2","37","https://i.ytimg.com/vi/m2x03woh_1Y/hqdefault.jpg"
"NEsqDN1Qhgs","俯撐挺起","65","3","29","https://i.ytimg.com/vi/NEsqDN1Qhgs/hqdefault.jpg"
"N7M-21RxCjI","前傾展腰","67","4","43","https://i.ytimg.com/vi/N7M-21RxCjI/hqdefault.jpg"
"ElrFBU7ST8g","燃脂深蹲","68","5","44","https://i.ytimg.com/vi/ElrFBU7ST8g/hqdefault.jpg"
"ee2ZybAL5s8","彈起深蹲","70","6","32","https://i.ytimg.com/vi/ee2ZybAL5s8/hqdefault.jpg"
"T32knUahZxg","提腿後抬","73","7","31","https://i.ytimg.com/vi/T32knUahZxg/hqdefault.jpg"
"V9IYRqr3PA8","提腿側抬","74","8","31","https://i.ytimg.com/vi/V9IYRqr3PA8/hqdefault.jpg"
"AX0nSUcveEI","單腿伸展","79","9","39","https://i.ytimg.com/vi/AX0nSUcveEI/hqdefault.jpg"
"HuuaSkk6Xf8","坐姿轉體","80","10","38","https://i.ytimg.com/vi/HuuaSkk6Xf8/hqdefault.jpg"
"lsWM6IKoTqc","髖關節外展","81","11","39","https://i.ytimg.com/vi/lsWM6IKoTqc/hqdefault.jpg"
"jIN4LSo9FQM","上下聳肩","83","12","40","https://i.ytimg.com/vi/jIN4LSo9FQM/hqdefault.jpg"
"anfk7fBOV74","後抬壓腳","84","13","41","https://i.ytimg.com/vi/anfk7fBOV74/hqdefault.jpg"
"MQqh4akP1tM","空踩腳踏車","86","14","35","https://i.ytimg.com/vi/MQqh4akP1tM/hqdefault.jpg"
"nAv_jb48isk","坐姿提膝","87","15","35","https://i.ytimg.com/vi/nAv_jb48isk/hqdefault.jpg"
"CysuJeMadpc","肩膀推舉","89","16","37","https://i.ytimg.com/vi/CysuJeMadpc/hqdefault.jpg"
"AvZ6eeDbNwQ","上前拍手","90","17","41","https://i.ytimg.com/vi/AvZ6eeDbNwQ/hqdefault.jpg"
"D0WRHsAntlU","提手平舉","94","18","38","https://i.ytimg.com/vi/D0WRHsAntlU/hqdefault.jpg"
"dJG0TPSuBT0","握拳伸展","96","19","34","https://i.ytimg.com/vi/dJG0TPSuBT0/hqdefault.jpg"
"Ia0U2Lp3xuk","挺胸伸展","99","20","37","https://i.ytimg.com/vi/Ia0U2Lp3xuk/hqdefault.jpg"
"Sm8HqmECypI","單腳後抬","100","21","34","https://i.ytimg.com/vi/Sm8HqmECypI/hqdefault.jpg"
"ly5aEn5S1OU","扶牆挺身","101","22","40","https://i.ytimg.com/vi/ly5aEn5S1OU/hqdefault.jpg"
"J123z-KEupY","站姿踮腳","105","23","41","https://i.ytimg.com/vi/J123z-KEupY/hqdefault.jpg"
"tgdrZV5kYSw","踮腳上提","106","24","39","https://i.ytimg.com/vi/tgdrZV5kYSw/hqdefault.jpg"
"nOzmfbS5iYw","寬步深蹲","108","25","41","https://i.ytimg.com/vi/nOzmfbS5iYw/hqdefault.jpg"
"csRDaEw1naE","寬透明椅","109","26","25","https://i.ytimg.com/vi/csRDaEw1naE/hqdefault.jpg"
"UkRqo7OEgi8","側邊深蹲","111","27","38","https://i.ytimg.com/vi/UkRqo7OEgi8/hqdefault.jpg"
"EgbzZoaZYjU","反弓箭步","113","28","38","https://i.ytimg.com/vi/EgbzZoaZYjU/hqdefault.jpg"
"siWX1xOXpcc","行弓箭步","114","29","32","https://i.ytimg.com/vi/siWX1xOXpcc/hqdefault.jpg"
"DQU1luS1S0c","平板撐體","117","30","31","https://i.ytimg.com/vi/DQU1luS1S0c/hqdefault.jpg"
"jgKWwuI68M4","側向撐體","118","31","39","https://i.ytimg.com/vi/jgKWwuI68M4/hqdefault.jpg"
"AjNFTdP4ack","背向撐體","119","32","39","https://i.ytimg.com/vi/AjNFTdP4ack/hqdefault.jpg"
"ZLfKka2bN94","窄身深蹲","121","33","39","https://i.ytimg.com/vi/ZLfKka2bN94/hqdefault.jpg"
"6f5ysON8-70","腿肌拉筋","122","34","37","https://i.ytimg.com/vi/6f5ysON8-70/hqdefault.jpg"
"z_oNVDbmod0","側邊伸展","124","35","41","https://i.ytimg.com/vi/z_oNVDbmod0/hqdefault.jpg"
"OxoZnxRzo4A","腰部伸展","126","36","40","https://i.ytimg.com/vi/OxoZnxRzo4A/hqdefault.jpg"
"9JYvMlc6nto","脊椎前伸","129","37","36","https://i.ytimg.com/vi/9JYvMlc6nto/hqdefault.jpg"
"RLDp7QkTgWc","單腿伸展","130","38","30","https://i.ytimg.com/vi/RLDp7QkTgWc/hqdefault.jpg"
"QXvjZZxJN7o","臀部伸展","131","39","30","https://i.ytimg.com/vi/QXvjZZxJN7o/hqdefault.jpg"
"pYyegGQyMqw","上下抬腿","135","40","39","https://i.ytimg.com/vi/pYyegGQyMqw/hqdefault.jpg"
"xN7n2iBMFY0","捲腹運動","136","41","39","https://i.ytimg.com/vi/xN7n2iBMFY0/hqdefault.jpg"
"RLOeD1pH2Aw","腹肌運動","137","42","39","https://i.ytimg.com/vi/RLOeD1pH2Aw/hqdefault.jpg"
"A7xVkirOe2o","原地爬山","139","43","29","https://i.ytimg.com/vi/A7xVkirOe2o/hqdefault.jpg"
"e4tct6hfYX8","超人飛翔","140","44","41","https://i.ytimg.com/vi/e4tct6hfYX8/hqdefault.jpg"
"vGadLdNpMIM","彈跳深蹲","144","45","41","https://i.ytimg.com/vi/vGadLdNpMIM/hqdefault.jpg"
"DHrfL7T4bss","青蛙彈跳","145","46","35","https://i.ytimg.com/vi/DHrfL7T4bss/hqdefault.jpg"
"BhHvXnZyPFM","驢子踢腿","150","47","40","https://i.ytimg.com/vi/BhHvXnZyPFM/hqdefault.jpg"
"J2q9NQisHjo","橋式鍛鍊","151","48","41","https://i.ytimg.com/vi/J2q9NQisHjo/hqdefault.jpg"
"1f9GbgR2AzQ","透明跳繩","154","49","28","https://i.ytimg.com/vi/1f9GbgR2AzQ/hqdefault.jpg"
"ACj7KwJebi4","開合跳躍","155","50","31","https://i.ytimg.com/vi/ACj7KwJebi4/hqdefault.jpg"
"NEm6hwAj_CQ","頸部伸展","158","51","41","https://i.ytimg.com/vi/NEm6hwAj_CQ/hqdefault.jpg"
"Sqyttfb7VH4","轉動腳踝","160","52","25","https://i.ytimg.com/vi/Sqyttfb7VH4/hqdefault.jpg"
"W_yhe8HDlPs","俄式扭轉","162","53","38","https://i.ytimg.com/vi/W_yhe8HDlPs/hqdefault.jpg"
"D0fAiJ65E3s","交替抬腿","163","54","40","https://i.ytimg.com/vi/D0fAiJ65E3s/hqdefault.jpg"
"eM3dNSYaVH4","手臂行走","170","55","41","https://i.ytimg.com/vi/eM3dNSYaVH4/hqdefault.jpg"
"mIfNLvh47n0","坐姿划船","173","56","39","https://i.ytimg.com/vi/mIfNLvh47n0/hqdefault.jpg"
"gTqSwaV6WvQ","板凳撐體","174","57","40","https://i.ytimg.com/vi/gTqSwaV6WvQ/hqdefault.jpg"
"t-Po-gzApzY","提手平舉弓箭步","178","58","37","https://i.ytimg.com/vi/t-Po-gzApzY/hqdefault.jpg"
